"YEAR","Q","RC","RYD"
1994,"Q1",60871.2,92109.0485074627
1994,"Q2",60907,88004.5161290323
1994,"Q3",63381.6,88317.3791821561
1994,"Q4",64252.4,99790.4323827047
1995,"Q1",62250.5,95866.1696178938
1995,"Q2",62349.1,88206.9508804449
1995,"Q3",64827.2,90261.3805970149
1995,"Q4",66126.7,103851.663585952
1996,"Q1",63570.9,98556.0747663551
1996,"Q2",63702.8,92924.3992606285
1996,"Q3",65904.8,93484.729981378
1996,"Q4",67379.4,104879.170506912
1997,"Q1",66049.9,101847.15750233
1997,"Q2",63647.5,93158.4167424932
1997,"Q3",65867.2,93089.5604395604
1997,"Q4",66438,102729.881925522
1998,"Q1",64180,97471.4811407544
1998,"Q2",63596.3,91495.5291970803
1998,"Q3",65992.1,93108.4714548803
1998,"Q4",66539.5,100391.18982743
1999,"Q1",64820.6,93461.5526802218
1999,"Q2",64282.1,91473.9688359303
1999,"Q3",66615.3,91965.4949121184
1999,"Q4",67369.2,102220.110192837
2000,"Q1",66223.8,94731.780055918
2000,"Q2",65182.5,93737.6503237743
2000,"Q3",67161.4,95879.4584500467
2000,"Q4",68571.1,105114.206128134
2001,"Q1",67405.2,100100.37593985
2001,"Q2",67169.9,95681.9119025305
2001,"Q3",68745.6,92570.7109004739
2001,"Q4",69296.3,100919.735599622
2002,"Q1",68279.9,98622.2222222222
2002,"Q2",68031.3,96261.1798287345
2002,"Q3",69643.7,94459.0778097983
2002,"Q4",70175.1,101975.286259542
2003,"Q1",69002.6,97459.0909090909
2003,"Q2",68156.9,96751.8768046198
2003,"Q3",69516.9,96638.3123181377
2003,"Q4",71204.6,106622.275795564
2004,"Q1",69963.2,100887.024390244
2004,"Q2",69088.9,99499.8062015504
2004,"Q3",71022.7,98880.9756097561
2004,"Q4",71478.7,108095.84139265
2005,"Q1",70560.5,104327.8978389
2005,"Q2",70098.5,100842.3828125
2005,"Q3",72090.1,100123.89380531
2005,"Q4",73113.9,110734.048780488
2006,"Q1",72064.5,102502.561576355
2006,"Q2",70884,101838.220918866
2006,"Q3",71660.1,101424.31372549
2006,"Q4",73908.3,111583.804878049
2007,"Q1",72589.1,105804.459861249
2007,"Q2",71764.3,104322.374877331
2007,"Q3",72514.8,102606.108374384
2007,"Q4",73827.4,109869.268292683
2008,"Q1",72818.8,103722.637795276
2008,"Q2",70574.6,101287.937743191
2008,"Q3",71986.8,95799.8054474708
2008,"Q4",72021.3,101815.512195122
2009,"Q1",70098.4,89592.7218344965
2009,"Q2",69526.7,92758.5728444004
2009,"Q3",71803.3,93287.4623871615
2009,"Q4",73343.2,103770.611835507
2010,"Q1",72005.5,94903.4517766497
2010,"Q2",71150.5,99806.2374245473
2010,"Q3",74246.6,98554.8419979613
2010,"Q4",74005.6,106302.535496957
2011,"Q1",71095,97637.7936670072
2011,"Q2",70460.8,96461.7647058824
2011,"Q3",73459.8,96736.0572012257
2011,"Q4",74864.1,103880.691056911
2012,"Q1",73535.2,99835.0051177073
2012,"Q2",72430.9,99801.0193679918
2012,"Q3",74210.6,97220.1238390093
2012,"Q4",75583.4,104041.862845445
2013,"Q1",75070.3,99444.6280991736
2013,"Q2",74363.1,103588.717948718
2013,"Q3",76449.2,100913.78600823
2013,"Q4",77585.5,108897.963340122
2014,"Q1",77605.6,101321.721311475
2014,"Q2",72404.1,101136.327345309
2014,"Q3",74622.5,98622.668004012
2014,"Q4",76084.6,110922.033898305
2015,"Q1",74826.2,103839.616935484
2015,"Q2",73743.2,107975.223880597
2015,"Q3",75307.2,104517.317317317
2015,"Q4",76188.4,112842.885572139
2016,"Q1",74758,107893.737373737
2016,"Q2",73106.8,107551.8
2016,"Q3",74647.9,104412.701612903
2016,"Q4",76272,114682.189054726
2017,"Q1",75095.4,106903.021148036
2017,"Q2",74414.6,109903.293413174
2017,"Q3",75276.5,107747.991967871
2017,"Q4",77142.5,116943.762376238
2018,"Q1",75396.8,105523.253493014
2018,"Q2",74518.2,111526.911618669
2018,"Q3",75620.4,107596.71641791
2018,"Q4",77214.7,115694.38976378
2019,"Q1",75333.2,105186.055776892
2019,"Q2",74804.3,112114.610069102
2019,"Q3",76326.9,107881.529294935
2019,"Q4",75368.1,113691.71539961
